instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns,finish.started,valid_av,invalid_av,trials.order,rt_zscore
,,99,1,2025-12-15,posner,2023.2.2,Win32,59.88023952,11.6889,13.8881,-0.387840671,-0.025157233,1.0,0.0,0.0,1.1835,target,13.8882,14.888,0.0,2.0,2.0,2.0,1.0,-0.35,0.0,1.0,left,,,,,1.655371460608878
,,99,1,2025-12-15,posner,2023.2.2,Win32,59.88023952,14.8886,16.6044,0.324947589,-0.022012579,1.0,0.0,0.0,0.6998,target,16.6045,17.6045,0.0,3.0,3.0,1.0,1.0,0.35,180.0,1.0,right,,,,,0.06866349139557358
,,99,1,2025-12-15,posner,2023.2.2,Win32,59.88023952,17.6051,19.3379,0.307127883,-0.003144654,1.0,0.0,0.0,0.7165,target,19.3381,20.3378,0.0,4.0,4.0,7.0,1.0,0.35,180.0,1.0,right,,,,,0.12344542872421171
,,99,1,2025-12-15,posner,2023.2.2,Win32,59.88023952,20.3382,22.1212,-0.35115304,0.008385744,1.0,0.0,0.0,0.7661,target,22.1214,23.1214,0.0,5.0,5.0,4.0,1.0,-0.35,0.0,1.0,left,,,,,0.28615106294579506
,,99,1,2025-12-15,posner,2023.2.2,Win32,59.88023952,23.1218,25.1544,-0.379454927,0.012578616,1.0,0.0,0.0,1.0164,target,25.1544,26.1544,0.0,6.0,6.0,10.0,1.0,-0.35,180.0,0.0,left,,,,,1.1072240517696323
,,99,1,2025-12-15,posner,2023.2.2,Win32,59.88023952,26.1551,27.8545,0.363731656,-0.008385744,1.0,0.0,0.0,0.6833,target,27.8546,28.8543,0.0,7.0,7.0,3.0,1.0,0.35,180.0,1.0,right,,,,,0.014537625172667941
,,99,1,2025-12-15,posner,2023.2.2,Win32,59.88023952,28.8547,30.5878,-0.336477987,-0.01048218,1.0,0.0,0.0,0.7166,target,30.5878,31.5879,0.0,8.0,8.0,0.0,1.0,-0.35,0.0,1.0,left,,,,,0.12377346427707776
,,99,1,2025-12-15,posner,2023.2.2,Win32,59.88023952,31.5883,33.3211,-0.332285115,-0.001048218,1.0,0.0,0.0,0.7166,target,33.3212,34.3211,0.0,9.0,9.0,6.0,1.0,-0.35,0.0,1.0,left,,,,,0.12377346427707776
,,99,1,2025-12-15,posner,2023.2.2,Win32,59.88023952,34.3215,36.1043,-0.299790356,-0.011530398,1.0,0.0,0.0,0.7666,target,36.1044,37.1045,0.0,10.0,10.0,12.0,1.0,-0.35,180.0,0.0,left,,,,,0.28779124071012535
,,99,1,2025-12-15,posner,2023.2.2,Win32,59.88023952,37.105,38.8378,0.404612159,-0.007337526,1.0,0.0,0.0,0.7164,target,38.8378,39.8376,0.0,11.0,11.0,9.0,1.0,0.35,0.0,0.0,right,,,,,0.12311739317134565
,,99,1,2025-12-15,posner,2023.2.2,Win32,59.88023952,39.8381,41.7376,0.364779874,-0.025157233,1.0,0.0,0.0,0.8832,target,41.7377,42.7379,0.0,12.0,12.0,13.0,1.0,0.35,0.0,0.0,right,,,,,0.670280695351993
,,99,1,2025-12-15,posner,2023.2.2,Win32,59.88023952,42.7383,44.9045,-0.398322851,0.017819706,1.0,0.0,0.0,1.1501,target,44.9046,45.9043,0.0,13.0,13.0,8.0,1.0,-0.35,180.0,0.0,left,,,,,1.5458075859516018
,,0,1,2025-12-16,posner,2023.2.2,Win32,3.752345216,11.2494,13.2308,-0.410852713,0.000775194,1.0,0.0,0.0,0.7616,target,13.2313,14.098,0.0,0.0,0.0,6.0,1.0,-0.35,0.0,1.0,left,,,,,0.27138946306682094
,,0,1,2025-12-16,posner,2023.2.2,Win32,3.752345216,18.6913,20.4192,-0.251162791,0.020930233,1.0,0.0,0.0,0.7159,target,20.4199,21.4845,0.0,2.0,2.0,0.0,1.0,-0.35,0.0,1.0,left,,,,,0.12147721540701499
,,0,1,2025-12-16,posner,2023.2.2,Win32,3.752345216,21.4852,23.6707,0.336434109,0.030232558,1.0,0.0,0.0,0.9164,target,23.6712,24.5768,0.0,3.0,3.0,11.0,1.0,0.35,0.0,0.0,right,,,,,0.7791884989035367
,,0,1,2025-12-16,posner,2023.2.2,Win32,3.752345216,29.8451,31.8832,0.306976744,-0.008527132,1.0,0.0,0.0,0.9313,target,31.8835,32.8023,0.0,5.0,5.0,5.0,1.0,0.35,180.0,1.0,right,,,,,0.8280657962805851
,,0,1,2025-12-16,posner,2023.2.2,Win32,3.752345216,32.8037,34.8291,-0.293023256,-0.006976744,1.0,0.0,0.0,0.9048,target,34.8295,35.7234,0.0,6.0,6.0,10.0,1.0,-0.35,180.0,0.0,left,,,,,0.7411363747710699
,,0,1,2025-12-16,posner,2023.2.2,Win32,3.752345216,40.7765,43.1181,-0.378294574,0.025581395,1.0,0.0,0.0,1.1762,target,43.1184,44.0161,0.0,8.0,8.0,12.0,1.0,-0.35,180.0,0.0,left,,,,,1.6314248652496528
,,0,1,2025-12-16,posner,2023.2.2,Win32,3.752345216,44.0168,46.0423,-0.379844961,0.006976744,1.0,0.0,0.0,0.8976,target,46.0426,46.938,0.0,9.0,9.0,2.0,1.0,-0.35,0.0,1.0,left,,,,,0.7175178149647107
,,0,1,2025-12-16,posner,2023.2.2,Win32,3.752345216,46.9389,49.4338,0.339534884,0.000775194,1.0,0.0,0.0,1.3917,target,49.4342,50.306,0.0,10.0,10.0,13.0,1.0,0.35,0.0,0.0,right,,,,,2.338341481676089
,,0,1,2025-12-16,posner,2023.2.2,Win32,3.752345216,54.3662,56.882,0.265116279,0.006976744,1.0,0.0,0.0,1.3693,target,56.8823,57.8034,0.0,12.0,12.0,3.0,1.0,0.35,180.0,1.0,right,,,,,2.264861517834084
,,0,1,2025-12-14,posner,2023.2.2,Win32,60.97560976,10.2931,12.2746,0.294858342,0.005771249,1.0,0.0,0.0,0.9665,target,12.2746,13.2744,0.0,1.0,1.0,5.0,1.0,0.35,180.0,1.0,right,,,,,0.9435343108894507
,,0,1,2025-12-14,posner,2023.2.2,Win32,60.97560976,13.275,14.9914,-0.310598111,0.002623295,1.0,0.0,0.0,0.7002,target,14.9915,15.9907,0.0,2.0,2.0,12.0,1.0,-0.35,180.0,0.0,left,,,,,0.06997563360703818
,,10,1,2025-12-16,posner,2023.2.2,Win32,29.85074627,5.0419,6.733,-0.394820135,-0.015395701,1.0,0.0,0.0,0.6659,target,6.7339,7.7326,0.0,0.0,0.0,6.0,1.0,-0.35,0.0,1.0,left,,,,,0.042540561026032604
,,10,1,2025-12-16,posner,2023.2.2,Win32,29.85074627,7.7333,9.4966,0.329208616,-0.01884893,1.0,0.0,0.0,0.7326,target,9.4971,10.4965,0.0,1.0,1.0,1.0,1.0,0.35,180.0,1.0,right,,,,,0.17625915273565312
,,10,1,2025-12-16,posner,2023.2.2,Win32,29.85074627,10.497,12.794,-0.295827303,-0.001582743,1.0,0.0,0.0,1.2656,target,12.7946,13.7935,0.0,2.0,2.0,0.0,1.0,-0.35,0.0,1.0,left,,,,,1.9246886495119429
,,10,1,2025-12-16,posner,2023.2.2,Win32,29.85074627,13.794,15.7917,0.392518056,-0.006187077,1.0,0.0,0.0,0.9656,target,15.7922,16.791,0.0,3.0,3.0,11.0,1.0,0.35,0.0,0.0,right,,,,,0.9405819909136558
,,10,1,2025-12-22,posner,2023.2.2,Win32,59.88023952,6.3661,8.5444,0.313014827,-0.00247117,1.0,0.0,0.0,1.1683,target,8.545,9.5448,0.0,0.0,0.0,3.0,1.0,0.35,180.0,1.0,right,,,,,1.6055100565732312
,,10,1,2025-12-22,posner,2023.2.2,Win32,59.88023952,9.5459,11.4302,-0.388797364,0.02553542,1.0,0.0,0.0,0.8676,target,11.4303,12.4315,0.0,1.0,1.0,0.0,1.0,-0.35,0.0,1.0,left,,,,,0.6191071491048822
,,10,1,2025-12-22,posner,2023.2.2,Win32,59.88023952,12.4324,14.3339,-0.317957166,-0.030477759,1.0,0.0,0.0,0.901,target,14.334,15.3352,0.0,2.0,2.0,10.0,1.0,-0.35,180.0,0.0,left,,,,,0.7286710237621581
,,10,1,2025-12-22,posner,2023.2.2,Win32,59.88023952,15.3358,17.2547,-0.299835255,-0.010708402,1.0,0.0,0.0,0.9179,target,17.2547,18.2559,0.0,3.0,3.0,12.0,1.0,-0.35,180.0,0.0,left,,,,,0.7841090321965284
,,10,1,2025-12-22,posner,2023.2.2,Win32,59.88023952,22.1118,24.3646,0.337726524,0.000823723,1.0,0.0,0.0,1.2519,target,24.3647,25.3657,0.0,5.0,5.0,9.0,1.0,0.35,0.0,0.0,right,,,,,1.8797477787692876
,,10,1,2025-12-22,posner,2023.2.2,Win32,59.88023952,25.3662,27.1849,-0.271828666,0.015650741,1.0,0.0,0.0,0.8175,target,27.1851,28.1863,0.0,6.0,6.0,2.0,1.0,-0.35,0.0,1.0,left,,,,,0.4547613371189682
